PROJECT_NAME,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,LOCATION,STATE,EVENT_DATE_1,EVENT_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun,CostOverrun,EVENT_DATE_2,EVENT_2,EVENT_DATE_ORIG,MonthDifference,NoOfDays,EVENT_DATE_3
Sriperumbudur-Karaipettai (NH-48) Six Lane Highway (Pkg-1) Project,Substantial Expansion,7775.2,Under Implementation,"Engineering, Procurement & Construction",March 2024,Karaipettai,Tamil Nadu,22 Aug 2009,Date of announcement,2021-07-22,7775.2,10450,-2674.8,N,2024-03-31,Completion expected by,2014-12-31,Y,3378,2012-06-01
Start of DSIR Zone-Adhelai Village (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package-4),New Unit,9646.8,Under Implementation,"Engineering, Procurement & Construction",March 2024,Adhelai village,Gujarat,20 Mar 2010,Date of announcement,2019-02-25,9646.8,9646.8,0,N,2024-03-31,Completion expected by,2013-12-31,Y,3743,2020-10-29
Vejalka Village-Start of DSIR Zone (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package-3),New Unit,7443.8,Under Implementation,"Engineering, Procurement & Construction",March 2024,Dsir zone,Gujarat,20 Mar 2010,Date of announcement,2018-12-28,7443.8,7443.8,0,N,2024-03-31,Completion expected by,2013-12-31,Y,3743,2020-10-26
Eight Lane Northern Peripheral Road Project or Dwarka Expressway NH-48&(NH 248-BB) Project (Bharatmala),New Unit,90000,Under Implementation,"Engineering, Procurement & Construction",April 2024,"Dwarka, delhi",NCT of Delhi,31 Jul 2007,Date of announcement,2023-05-18,90000,59294.6,30705.4,Y,2024-04-30,Completion expected by,2012-04-10,Y,4403,2011-03-01
Guwahati Six Lane Bypass (NH-37) (section of Jalukbari-Koinadhora Highway) Project,Substantial Expansion,3000,Under Implementation,"Engineering, Procurement & Construction",December 2023,Guwahati,Assam,27 Jul 2017,Date of announcement,2023-05-05,3000,3560.2,-560.2,N,2024-08-31,Initial completion date,2023-12-31,Y,244,2021-12-10
Chennai Port -Maduravoyal Double Decker Elevated Corridor Project (Bharatmala),Substantial Expansion,58620,Under Implementation,"Engineering, Procurement & Construction",December 2024,Chennai,Tamil Nadu,15 Jun 2006,Date of announcement,2023-01-04,58620,13451.4,45168.6,Y,2024-12-31,Completion expected by,2012-03-31,Y,4658,2009-05-20
Danapur-Bihta via Shivala Four Lane Elevated Expressway Project,New Unit,31470,Under Implementation,"Engineering, Procurement & Construction",December 2024,Bihta,Bihar,03 Mar 2017,Date of announcement,2023-04-15,31470,20000,11470,Y,2024-12-31,Completion expected by,2022-06-30,Y,915,2023-01-25
Ghoshpukur (Dhupguri)-Salsalabari (NH-31D) Four Lane Highway Project (Package-II),Substantial Expansion,19952,Under Implementation,"Engineering, Procurement & Construction",December 2024,Falakata,West Bengal,01 Dec 2009,Date of announcement,2018-05-31,19952,9720,10232,Y,2024-12-31,Completion expected by,2013-06-30,Y,4202,2018-03-28
Krishnapatnam Port (NH-16) SIx Lane Road Connectivity Project (Bharatmala),Substantial Expansion,2544.3,Under Implementation,"Engineering, Procurement & Construction",December 2024,Krishnapatnam,Andhra Pradesh,01 Jul 2017,Date of announcement,2022-12-21,2544.3,3145.1,-600.8,N,2024-12-31,Completion expected by,2020-12-18,Y,1474,2018-03-26
Pinjore Bypass-Baddi-Nalagarh (NH-21A) Four Laning Highway Project,Substantial Expansion,16920,Under Implementation,"Engineering, Procurement & Construction",December 2024,Nalagarh,Himachal Pradesh,29 Apr 2009,Date of announcement,2022-10-05,16920,10700,6220,Y,2024-12-31,Completion expected by,2014-06-30,Y,3837,2021-09-30
Rau junction (NH-52) Six Lane Flyover Project,New Unit,470,Under Implementation,"Engineering, Procurement & Construction",December 2024,Rau junction,Madhya Pradesh,31 Oct 2010,Date of announcement,2022-07-26,470,800,-330,N,2024-12-31,Completion expected by,2023-06-30,Y,550,2022-03-11
Bangalore-Chennai-Chitradurga Expressway Project (Bharatmala),New Unit,148700,Under Implementation,Hybrid Annuity,December 2024,Bangalore,Karnataka,01 Dec 2008,Date of announcement,2022-05-24,148700,40000,108700,Y,2024-12-31,Completion expected by,2013-06-30,Y,4202,2021-03-04
Raebareli-Prayagraj (Allahabad) (NH-24B) Four lane Highway Upgradation Project,Substantial Expansion,14070,Under Implementation,Hybrid Annuity,December 2024,Allahabad,Uttar Pradesh,15 Nov 2015,Date of announcement,2017-06-14,14070,14070,0,N,2024-12-31,Completion expected by,2024-10-31,Y,61,2023-03-20
Balbhadrapur (Tal Dasraha)-Bela Nawada Four Lane Access Controlled Greenfield Highway (NH-119D) Project (Package-IV of Amas-Darbhanga Expressway),New Unit,21857.5,Under Implementation,Hybrid Annuity,October 2024,Bela nawada,Bihar,01 Dec 2019,Date of announcement,2022-04-06,21857.5,15340,6517.5,Y,2024-12-31,Initial completion date,2024-10-31,Y,61,2022-05-06
Village Kalyanpur to Village Balbhadrapur Four Lane Access Controlled Greenfield Highway (NH-119D) Project (Package-III of Amas-Darbhanga Expressway),New Unit,18577.8,Under Implementation,Hybrid Annuity,September 2024,Village balbhadrapur,Bihar,01 Dec 2019,Date of announcement,2022-04-06,18577.8,11655.4,6922.4,Y,2024-12-31,Initial completion date,2024-09-30,Y,92,2022-03-30
Munger-Mirzachowki (NH-80) Four Lane (Greenfield Corridor) Road Project,Substantial Expansion,57880,Under Implementation,Hybrid Annuity,December 2024,Deoghar choraha (sultanganj),Bihar,15 Jul 2009,Date of announcement,2022-06-07,57880,12000,45880,Y,2025-02-28,Initial completion date,2024-12-31,Y,59,2021-02-22
Jatinga-Bara Narayanpur (Harangajo) (NH-54) (New NH-27) Four Lane Highway Project,New Unit,16896.6,Under Implementation,Hybrid Annuity,March 2025,Boro narayanpur,Assam,01 Mar 2017,Date of announcement,2021-11-25,16896.6,16896.6,0,N,2025-03-31,Completion expected by,2017-03-31,Y,2922,2022-03-10
Vijayawada Six Lane Bypass Project (Chinna Autupalli-Gollapudi & Gollapudi-Chinnakakani Section) (Vijayawada-Gundugolanu section),Substantial Expansion,28250,Under Implementation,Hybrid Annuity,April 2025,Gundugolanu,Andhra Pradesh,02 Jan 2018,Date of announcement,2020-10-04,28250,28250,0,N,2025-04-14,Completion expected by,2022-12-31,Y,835,2020-03-11
Kodungallur-Edapally (NH-66) Six Lane Highway Project,Substantial Expansion,34660,Under Implementation,Hybrid Annuity,April 2025,Edapally,Kerala,15 Apr 2005,Date of announcement,2022-12-15,34660,15014.7,19645.3,Y,2025-04-30,Completion expected by,2024-12-31,Y,120,2021-12-28
Two Lane Bridge across Kosi River (NH-527 A) Project (Umagaon-Saharsa Package-IV) (Bharatmala),New Unit,11010,Under Implementation,"Engineering, Procurement & Construction",August 2023,Bakaur,Bihar,21 Dec 2018,Date of announcement,2023-01-19,11010,9842.9,1167.1,Y,2025-07-31,Initial completion date,2022-11-30,Y,974,2019-10-01
Nelamangala-Tumkur (New NH-4 & 48) Six Lane Highway Project (Bharatmala),Substantial Expansion,14070.8,Under Implementation,"Engineering, Procurement & Construction",August 2025,Nelamangala,Karnataka,12 Feb 2019,Date of announcement,2020-08-09,14070.8,11526.6,2544.2,Y,2025-12-31,Initial completion date,2023-02-28,Y,1037,2022-01-31
Karnataka/Kerala Border (Talapady)-Kannur (NH-66) Six Laning Highway Project (Kasaragod District-Thiruvananthapuram District),New Unit,11570,Under Implementation,"Design, Build, Finance, Operate and Transfer (Toll) basis",December 2025,Kannur,Kerala,28 Oct 2009,Date of announcement,2010-08-11,11570,9100,2470,Y,2025-12-31,Completion expected by,2015-05-30,Y,3868,2010-05-31
Vengalam-Kuttipuram (NH-66) Four Laning Highway Project (Kasaragod District-Thiruvananthapuram District),Substantial Expansion,15785.9,Under Implementation,"Engineering, Procurement & Construction",December 2025,Kuttipuram,Kerala,21 Nov 2008,Date of announcement,2009-01-01,15785.9,11084.7,4701.2,Y,2025-12-31,Completion expected by,2018-08-30,Y,2680,2009-08-31
New Link (NH-133B) and Four Lane Bridge across Ganga connecting Sahibganj-Manihari (Katihar) (Package-I) Project,New Unit,19776.8,Under Implementation,"Engineering, Procurement & Construction",October 2024,Manihari,Bihar,01 Mar 2005,Date of announcement,2022-12-17,19776.8,10000,9776.8,Y,2025-12-31,Initial completion date,2019-05-31,Y,2406,2020-07-15
Shimla Bypass (NH-5) (Parwanoo-Shimla Package-III) Two/Four Lane Highway Project,Substantial Expansion,39150,Under Implementation,Hybrid Annuity,April 2026,Mdr junction,Himachal Pradesh,10 Feb 2009,Date of announcement,2022-09-22,39150,6128.3,33021.7,Y,2026-04-20,Completion expected by,2020-09-30,Y,2028,2016-08-26
Four Lane Bridge Parallel to Vikramshila Setu over Ganga River near Barari Ghat (Connecting Naugachia with Bhagalpur) Project,New Unit,9943.1,Under Implementation,"Engineering, Procurement & Construction",December 2027,Vikramshila setu,Bihar,01 Aug 2015,Date of announcement,2022-07-08,9943.1,17000,-7056.9,N,2027-12-31,Initial completion date,2025-05-31,Y,944,2021-02-20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
